euclid_designation,ra_J,dec_J,oid,flux_I,flux_Z,flux_Y,flux_J,flux_H,fluxerr_I,fluxerr_Z,fluxerr_Y,fluxerr_J,fluxerr_H,proba,mag_J,IoJ
J130840.17+671214.58,197.16737276195886,67.20405136509038,7701_191127,8.471926076520079e-09,4.4126710295677184e-07,2.2475323226933026e-06,2.339073095785816e-06,3.6469951837437614e-06,7.416941774966779e-09,4.4126710295677184e-07,1.963679866535368e-07,2.103984267551293e-07,2.4201021417465763e-07,0.8347197771072388,22.97739051580588,0.003621915916943126
J093854.22+683050.52,144.72590477756182,68.51403337929058,4261_51248,-6.543770566850987e-12,1.3509553670883178e-07,1.5366388652869662e-06,2.2802136608303407e-06,1.6310488412859106e-06,5.246895030675294e-09,1.3509553670883178e-07,1.221950245969954e-07,1.5688594523666705e-07,1.2139253536751543e-07,0.09575746208429337,23.005061141959292,-2.869805877957976e-06
J173926.15+603536.66,264.85896761345424,60.59351563761093,3285_3011,4.2608937784183815e-09,1.8929830193519593e-07,2.5359713342746745e-06,3.829825114263246e-06,2.8339562273241773e-06,6.673848037086696e-09,1.8929830193519593e-07,1.732218986664421e-07,1.7039696484961684e-07,1.6335122896591288e-07,0.8709573149681091,22.4420526431754,0.0011125557045802757
J154926.48+732434.80,237.36034102830337,73.4096670721165,7491_169245,-7.115466575922091e-09,3.0690473318099976e-07,2.016784557229416e-06,2.5323583026353736e-06,1.8797781334018644e-06,6.512716514920064e-09,3.0690473318099976e-07,1.3079369983450225e-07,2.184179998447063e-07,1.254817039211221e-07,0.7999905943870544,22.89118711526985,-0.002809818250646905
J091117.21+682433.19,137.82169751213047,68.40921845865009,4171_256,6.937792488704824e-09,8.833523392677307e-07,1.6882506747949368e-06,2.812856464415369e-06,3.1821474778150597e-06,9.470191580257218e-09,8.833523392677307e-07,2.1250626739751733e-07,2.1442262906107575e-07,2.3926492914567556e-07,0.72135329246521,22.777131071562472,0.0024664580565957857
J131924.49+654007.09,199.85205899747254,65.66863630924885,1399_4381,7.419011495594548e-10,4.833484590053558e-07,1.3261516191735368e-06,2.047863973489017e-06,1.254003973167765e-06,5.674190411290103e-09,4.833484590053558e-07,1.4390744159604917e-07,1.4178005546741399e-07,1.4778426383545194e-07,0.059850357472896576,23.12174723535999,0.00036228048306131
J103904.90+751610.52,159.7704159791709,75.26958959917702,4239_59494,-1.5541943279591687e-09,9.768283367156982e-07,2.024305474396543e-06,2.434519034154456e-06,4.727643064372165e-06,5.201749138795282e-09,9.768283367156982e-07,1.3814818500592366e-07,1.5014664573865115e-07,1.786345834764075e-07,0.11598044633865356,22.933967063992654,-0.0006383989223969912
J141037.62+683438.76,212.6567299118111,68.57743276073336,1405_19076,6.611913574294907e-10,5.08381724357605e-07,1.5352455603922906e-06,2.8347604729097936e-06,4.443314351607932e-06,7.780268103855127e-09,5.08381724357605e-07,1.17601764412342e-07,1.2042244728859752e-07,1.57608857560491e-07,0.1399775594472885,22.76870907886622,0.0002332441713323307
J182431.84+573634.30,276.132658184083,57.60952842078295,999_100799,1.125874542615745e-09,2.839493751525879e-06,4.434354465865721e-06,4.262322925912373e-06,5.748463007017536e-06,7.77972917205924e-09,2.839493751525879e-06,3.8498690180159957e-07,2.683554308399172e-07,2.9853323445455837e-07,0.15310119092464447,22.325884124923267,0.00026414576328112106
J121225.24+734542.21,183.10517525201726,73.76172576598944,1114_61275,7.076217001435944e-10,5.694735050201416e-07,8.766275064030174e-07,2.702354363725548e-06,5.0971081216567826e-06,5.1739075691756365e-09,5.694735050201416e-07,1.1033652234365157e-07,1.476808310330156e-07,1.8086460351768882e-07,0.009816925041377544,22.820644254754527,0.0002618537781877154
J104809.96+715550.99,162.04149114465937,71.93083021414692,7398_110796,6.817067278011988e-09,5.53298830986023e-07,1.0370751287099677e-06,4.9109120538999e-06,1.7480260103231424e-06,6.968763531426363e-09,5.53298830986023e-07,1.6094011421099228e-07,2.7163919990314085e-07,1.700171622263394e-07,0.0038372508715838194,22.172094608189607,0.0013881468866049748
J093320.52+662509.79,143.3354952529625,66.41938591224347,4275_66460,-6.4558751598926615e-09,1.6331577301025392e-07,1.119785662991129e-06,1.9335801159093203e-06,1.3194690687588111e-06,5.742066513698544e-09,1.6331577301025392e-07,1.9379888435210093e-07,2.1992646992031762e-07,1.8884688367264834e-07,0.5468151569366455,23.184094571678997,-0.0033388195848593556
J141547.84+685946.53,213.94935227316483,68.99625877884691,1406_31435,-1.2006314457901028e-08,2.0358288288116456e-07,2.131901832999202e-06,2.6352902461881387e-06,2.051493539266603e-06,1.5518068000783488e-08,2.0358288288116456e-07,1.3122089024778668e-07,1.3070103112116886e-07,1.0958234533819027e-07,0.9280697107315063,22.847928863485265,-0.004555974232920935
J123652.96+671016.84,189.22068285349278,67.17134522250849,1278_38694,1.9068961769762756e-09,-1.1451301723718643e-07,1.2277631999916576e-06,2.2057106775088487e-06,1.444460495956003e-06,5.45823689699227e-09,-1.1451301723718643e-07,1.1906416470524741e-07,1.546957569451904e-07,1.265944891278366e-07,0.5709487795829773,23.041128636133323,0.000864526883067884
J182859.33+562522.12,277.24720430303324,56.42281192443698,995_26814,4.238007258057458e-09,2.837112545967102e-07,2.578804706333491e-06,3.2217703888931365e-06,1.7427544473254602e-06,5.845197382580951e-09,2.837112545967102e-07,1.651419015665165e-07,1.3170620652977557e-07,1.2355261780187048e-07,0.09408076852560043,22.62976353594813,0.001315428086578652
