wise_designation,ps_ra,ps_dec
J000322.94-260318.3,0.84564,-26.05508
J000342.56+085936.0,0.92737,8.99336
J000428.62+352029.0,1.11926,35.3414
J001553.15+292721.4,3.97145,29.45595
J002027.08-184400.8,5.11284,-18.7336
J002106.47+271455.9,5.27702,27.24889
J002526.82-014532.5,6.36181,-1.75903
J002725.65-264431.9,6.85688,-26.74222
J003001.62+275458.9,7.50674,27.91634
J003218.35+073832.5,8.07651,7.64237
J003811.08+364003.8,9.54617,36.66775
J004346.82-111702.0,10.94517,-11.2839
J004645.87+233030.0,11.69121,23.50832
J004844.59-022603.1,12.18583,-2.43423
J005515.84-145915.4,13.81602,-14.98764
J005802.15+141141.3,14.50896,14.19481
J010027.65+210541.4,15.11526,21.09487
J010100.31+250441.0,15.25132,25.07805
J010248.76-200728.6,15.70321,-20.12464
J010305.49-244925.3,15.77292,-24.82368
J010318.07-130510.2,15.82531,-13.08616
J010447.16+251422.1,16.19649,25.23947
J010457.68-084638.1,16.24049,-8.77712
J010516.79-184642.0,16.31996,-18.77833
J010752.55+012336.8,16.96886,1.3936
J010812.48-261820.3,17.05203,-26.30568
J010827.24+280218.2,17.11351,28.03842
J010933.41+382015.6,17.38916,38.33773
J011734.00-294628.9,19.39172,-29.77466
J011852.25-094015.9,19.71776,-9.67113
J011915.40+305312.6,19.81415,30.88688
J012115.11+173900.2,20.31298,17.65006
J012145.87-014622.1,20.44121,-1.77275
J012231.91+133940.7,20.63298,13.66134
J012403.77+004432.6,21.01575,0.74243
J012546.75+211522.0,21.44484,21.25613
J012700.69-004559.1,21.75287,-0.76643
J012818.89-095700.4,22.07868,-9.95012
J012948.97-042149.6,22.45408,-4.36375
J013113.24+085245.5,22.80524,8.87928
J013223.20+184155.6,23.09669,18.6988
J013438.62-193206.2,23.66094,-19.53506
J013624.53+152755.1,24.1022,15.4653
J013822.93+120800.9,24.59563,12.1336
J013911.26-023133.8,24.7968,-2.52601
J014046.36+364130.3,25.19317,36.69173
J014237.30+275105.0,25.65547,27.85146
J014850.65-090712.8,27.21108,-9.12023
J015041.58-250846.4,27.6733,-25.14621
J015048.81+004126.1,27.70346,0.69062
J015106.83-283933.8,27.7785,-28.65938
J015322.44+272446.6,28.34355,27.41294
J015558.27-192849.0,28.99281,-19.4803
J015741.56-010629.7,29.42321,-1.10824
J020158.77+371745.0,30.4949,37.29596
J020453.15+210748.9,31.22144,21.13026
J020825.26+170548.8,32.10523,17.09692
J020838.40+170652.3,32.16001,17.11454
J020843.75-024914.0,32.18233,-2.82058
J020919.96+131446.6,32.33318,13.24632
J021220.40+091749.0,33.08507,9.29699
J021421.63+090406.9,33.59014,9.06863
J021829.58+224014.3,34.62325,22.67066
J021938.73-021540.4,34.91141,-2.26125
J021948.82+344719.7,34.95346,34.78879
J022007.64-010731.1,35.03186,-1.1253
J022028.02+073118.8,35.11677,7.52193
J022123.90-141654.8,35.34964,-14.28189
J022126.88-282251.2,35.36204,-28.38092
J022325.10+221211.7,35.85458,22.20327
J022840.58+352617.6,37.16911,35.43822
J023149.70-111521.0,37.95728,-11.25578
J023551.44-175725.7,38.96435,-17.95713
J024016.79-004351.9,40.06996,-0.7311
J024020.77-170016.5,40.08656,-17.00457
J024318.98+025746.7,40.82913,2.96298
J024401.84-013403.9,41.00769,-1.56774
J024526.49+371007.3,41.36021,37.1687
J024854.26+180249.3,42.22614,18.04702
J024932.66+275925.1,42.38609,27.99031
J025021.77-075750.0,42.59071,-7.96388
J025529.66+122826.3,43.87363,12.47402
J025721.09+153323.1,44.3379,15.55641
J025905.63+001121.9,44.77348,0.18944
J030151.62+121204.5,45.46511,12.20127
J030341.04-002321.8,45.92102,-0.38941
J030449.85-000813.4,46.20775,-0.13709
J030517.92-205628.2,46.32468,-20.94117
J030559.77+242507.3,46.49906,24.4187
J031115.20-172247.6,47.81338,-17.37991
J031212.68+270143.7,48.05282,27.02884
J031307.14+024515.3,48.27977,2.75426
J031817.19+203523.4,49.57168,20.58982
J032042.68+020815.6,50.17787,2.13769
J032146.39+115753.3,50.44333,11.96484
J032509.43+271200.4,51.28932,27.2001
J032906.25+202457.7,52.27607,20.41606
J033136.92+212932.3,52.90388,21.4923
J033908.18-153821.2,54.78408,-15.63922
J034118.14+022437.2,55.3256,2.41036
J034151.17+172049.7,55.46321,17.34716
J035257.86-010200.9,58.24111,-1.03359
J035314.88-251814.8,58.31202,-25.30413
J035550.31-145639.3,58.95965,-14.94418
J035617.61-120309.5,59.0734,-12.05268
J035811.14+250401.6,59.54642,25.06712
J035915.71-074142.1,59.81549,-7.69504
J035922.95-191127.7,59.84566,-19.19106
J040820.96-030829.3,62.08736,-3.14155
J040903.64+145149.4,62.26508,14.86363
J040914.86-275632.9,62.31198,-27.94247
J041053.66-074744.9,62.72356,-7.79578
J041102.07-013515.1,62.75865,-1.58754
J043008.31-002503.5,67.53468,-0.41762
J043229.32-191717.8,68.12212,-19.28828
J043623.92-000402.7,69.09967,-0.06746
J044132.01-101634.3,70.3834,-10.27619
J044515.16+000348.0,71.31317,0.06338
J044756.84-230748.3,71.98685,-23.13008
J045316.56-093025.1,73.31908,-9.50693
J045420.30-003731.9,73.58463,-0.62551
J045425.87-032000.2,73.60783,-3.33341
J045950.11+072802.5,74.95879,7.46742
J050015.00-243927.3,75.06261,-24.65757
J050354.15-060825.1,75.97561,-6.14029
J050555.84-293038.4,76.48271,-29.51067
J052001.72-201440.5,80.0072,-20.24461
J052136.92-133938.7,80.40385,-13.66078
J053043.74-062656.6,82.68228,-6.44905
J053946.88-200841.9,84.94529,-20.14496
J054929.18+821205.4,87.37162,82.20152
J073149.50+285448.8,112.95629,28.91355
J073418.63+383138.6,113.57751,38.52747
J073621.26+651312.3,114.08874,65.22
J074521.79+473436.1,116.34078,47.57672
J074628.70+301419.2,116.6196,30.23862
J074711.14+273903.3,116.79644,27.65093
J074746.84+345818.6,116.94489,34.97204
J074939.02+433217.8,117.41258,43.53825
J075819.70+202301.0,119.58211,20.38361
J080117.79+521034.6,120.32415,52.17628
J080430.55+542041.1,121.12739,54.34475
J081824.46+820648.5,124.60197,82.11347
J081855.78+095848.1,124.73243,9.98
J082155.33+115950.2,125.48056,11.99729
J082604.36+234047.7,126.51815,23.67993
J082619.71+314848.0,126.5821,31.81334
J082721.96+030054.7,126.84153,3.0152
J083141.69+524517.5,127.92376,52.75487
J083317.40+245851.3,128.3225,24.9809
J083535.69+212240.1,128.89871,21.37784
J083914.13+485125.8,129.80896,48.85715
J084401.95+050357.9,131.00816,5.06609
J084753.70+273654.5,131.97372,27.61516
J084957.67+543529.7,132.49037,54.5916
J085103.20+130253.2,132.76337,13.04814
J085119.09+134652.4,132.82961,13.78125
J085611.68+411516.8,134.04871,41.25467
J090307.73+222932.1,135.78222,22.49227
J090641.31+224925.7,136.67192,22.82375
J090709.89+250620.8,136.7912,25.10578
J091307.83+442014.3,138.28265,44.33731
J091510.00+475658.7,138.79171,47.94968
J091546.68+054942.5,138.9445,5.82855
J091647.60-113009.9,139.1984,-11.50275
J091746.54-115331.9,139.44392,-11.89219
J091923.10-005207.4,139.84629,-0.86889
J092325.26+453222.2,140.85524,45.5395
J092456.66+305354.7,141.23612,30.89855
J092636.33+305505.0,141.65138,30.91804
J092805.30+282719.7,142.02209,28.45548
J092832.87+184824.4,142.13698,18.80678
J093152.43+463343.6,142.96846,46.56212
J093404.05-111125.2,143.51689,-11.19031
J093542.69-065119.0,143.9279,-6.85526
J093643.51+292713.6,144.18129,29.45379
J094024.12-032304.1,145.1005,-3.38448
J094115.28+250722.0,145.31366,25.1228
J094118.17+140827.7,145.32575,14.14106
J094119.40+511932.8,145.33095,51.3258
J094202.04+042244.4,145.50853,4.37904
J094413.16+631758.2,146.05491,63.29954
J094439.68+561944.0,146.16539,56.32892
J094554.99+230539.2,146.47915,23.09408
J094734.20+142117.0,146.89249,14.35471
J094812.59+202402.9,147.05246,20.40079
J094932.26+033531.7,147.38445,3.59215
J095006.70+614349.4,147.52786,61.7304
J095014.04+580136.5,147.55854,58.02681
J095034.73-210250.7,147.64472,-21.04743
J095544.25+182546.8,148.93439,18.42969
J095546.15+195918.4,148.94232,19.98845
J095744.46+330820.7,149.43527,33.1391
J095841.21+282729.5,149.67174,28.45821
J095852.19+120245.1,149.7175,12.04584
J095947.52-103437.7,149.94801,-10.57708
J100248.00+663040.2,150.70004,66.51119
J100544.52+520903.1,151.43555,52.15088
J100545.32+300828.1,151.43883,30.14116
J100610.56+370513.8,151.54395,37.08717
J100724.87+580203.5,151.85367,58.03429
J101110.75+423937.2,152.79485,42.66031
J101336.39+561536.4,153.40158,56.26011
J101430.28-042140.2,153.62617,-4.3612
J101529.36-121314.2,153.87236,-12.22065
J101540.79-032747.5,153.92,-3.46313
J101544.12-110922.4,153.93382,-11.15632
J101908.26+025431.8,154.78442,2.90888
J102000.80-121151.4,155.00333,-12.19763
J102009.99+104002.6,155.04164,10.66742
J102011.46+150320.8,155.04775,15.05579
J102126.15-115621.4,155.35888,-11.93955
J102154.00+051646.3,155.47503,5.27956
J102325.29+514251.0,155.85546,51.71418
J102509.64+045246.7,156.29015,4.87967
J102653.65+251540.3,156.72356,25.26122
J102657.73+222220.9,156.74058,22.37246
J102924.17+423812.2,157.35067,42.63674
J103014.72+152348.5,157.56136,15.39675
J103051.50+471548.3,157.71452,47.2634
J103158.28-214407.4,157.99287,-21.73539
J103326.58-020250.7,158.36076,-2.04746
J103403.87+380248.5,158.51613,38.0468
J103419.72+191222.1,158.58214,19.20616
J103456.30+035859.4,158.73464,3.98317
J103531.16+594746.9,158.87987,59.79641
J103626.88+132651.8,159.11202,13.44772
J103720.64+233600.0,159.33603,23.60005
J103730.33+213531.4,159.37638,21.59205
J103909.50-231326.3,159.78961,-23.224
J104018.51+572448.0,160.07719,57.41337
J104125.75+452335.7,160.3573,45.39334
J104139.01-094437.9,160.41249,-9.74387
J104232.86+170844.0,160.63697,17.14555
