wise_designation,obs_sdss_ra,obs_sdss_dec,obs_psfmag_i,obs_tel,obs_date,obs_obs,obs_instrument,obs_class1,obs_class2,obs_z,obs_specfile,target,comment,ELQS_target,PS_ELQS_target,PS_ELQS_target_old
J000339.14+203125.8,0.913139478,20.52383304,17.72954,MMT,171021,Schindler,RedChannel,QSO,QSO,2.96,J0003+2031,,,primary,,
J000425.84-211054.2,1.10781106,-21.18168195,19.78739929,SOAR,180604,Schindler,GoodmanHTS,QSO,QSO,5.095,J0004-2110,Highz_Lukas,,,,
J000428.62+352029.0,1.11926045,35.3413973,17.95090516,MMT,171116,Schindler,RedChannel,QSO,QSO,3.71,J0004+3520_c,,,primary,priority_2,old_priority_2
J000459.30+093224.8,1.24713084,9.54004563,18.20964196,SOAR,171009,"Schindler, Yue",GoodmanHTS,GALAXY,UNID,-999.0,J0004+0932,,,,,old_priority_3
J000853.84-073550.1,2.224102302,-7.596881475,17.861539999999998,VATT,171112,"Schindler, Huang",VattSpec,STAR,K,-999.0,J0008-0735_a,,,,,
J000857.17-002651.3,2.238388778,-0.44756559799999995,18.02394,VATT,171112,"Schindler, Huang",VattSpec,STAR,UNID,-999.0,J0008-0027,,,,,
J001021.78-074436.6,2.59077826,-7.743502317000001,18.47578,MMT,171021,Schindler,RedChannel,QSO,QSO,3.905,J0010-0744,,,,,
J001150.03-244400.1,2.9585217999999998,-24.733389199999998,19.62369919,SOAR,180604,Schindler,GoodmanHTS,QSO,QSO,5.41,J0011-2444,Highz_Lukas,,,,
J001310.72+291847.6,3.29469398,29.31326249,17.6509224,MMT,171020,Schindler,RedChannel,QSO,QSO,2.5,J0013+2918_b,,,,priority_2,old_priority_2
J001311.09+205342.8,3.296263283,20.89520541,17.6603,NOT,170825,Fynbo,-,QSO,BAL,3.52,J0013+2053,ELQS,,primary,,
J001527.27+064011.1,3.8636654000000004,6.669750575,17.02027,VATT,171110,"Schindler, Huang",VattSpec,QSO,QSO,3.13,J0015+0640,,,primary,,
J001528.36-051508.0,3.8682022089999997,-5.252255419,17.716089999999998,VATT,151012,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,QSO,QSO,1.22,csdbimg0005.0001.fits,,,,,
