,wise_designation,wise_ra,wise_dec,wise_mag_w1,wise_sigmag_w1,wise_mag_w2,wise_sigmag_w2,wise_mag_w3,wise_sigmag_w3,wise_mag_w4,wise_sigmag_w4,tmass_j,tmass_j_sigma,tmass_h,tmass_h_sigma,tmass_k,tmass_k_sigma,ps_ra,ps_dec,ps_objid,ps_mag_g,ps_mag_r,ps_mag_i,ps_mag_z,ps_mag_y,ps_magerr_g,ps_magerr_r,ps_magerr_i,ps_magerr_z,ps_magerr_y,gaia_id,gaia_ra,gaia_dec,gaia_parallax,gaia_parallax_err,gaia_parallax_over_err,gaia_pmra,gaia_pmra_err,gaia_pmdec,gaia_pmdec_err,gaia_astrometric_excess_noise,gaia_meanmag_g,gaia_meanmag_bp,gaia_meanmag_rp,gaia_meanmagerr_g,gaia_meanmagerr_rp,gaia_meanmagerr_bp,gaia_bprp_excess_factor,pm_abs,gaia_bp_rp,l,b,ebv
0,J130118.47+002950.6,195.326988,0.4973923,12.684,0.024,12.3,0.025,11.974,0.269,8.607,-9999.0,15.144,0.041,14.106,0.041,13.513,0.05,195.32697838589402,0.4974033804409212,63157494112136,20.463522,17.602095,16.75282,16.901077,16.041348,0.02589798,0.015939435,0.022872085,0.016041901,0.006000811,3122507469767598842,195.3269786450046,0.4974041635004258,-0.2730129196871429,0.13804547575325923,-1.9777027,-0.9024911733135235,0.2801777417602237,0.1081941371442953,0.1979570675641715,0.0,17.991787,18.96413,16.716728,0.0200173039176,0.0276568587625,0.0730843494677,1.6780367,0.8261962892212188,2.2474022,308.4231874981968,63.26378836914215,0.026410917
1,J172323.10+224357.1,260.8462573,22.7325329,13.589,0.025,13.155,0.027,10.42,0.067,7.846,0.129,16.28,0.083,15.314,0.072,14.744,0.098,260.8462805580098,22.732538317109118,185280594211099,20.730083,18.180593,17.709398,17.491446,17.524712,0.02764202,0.0121774785,0.0031269887,0.0074120997,0.00800656,7786231174514372585,260.8462806033146,22.732538574573372,-0.06050773724598305,0.16201471047839627,-0.37347063,-0.13526761108526056,0.197439515081419,-0.14146462220635309,0.283203486239283,0.40368633996897824,18.3566,20.021341,17.243677,0.00157941466353,0.00781618271411,0.0444576860521,1.3456208,0.03830956594469951,2.7776642,45.22204467959081,28.939026628111375,0.05331708
2,J074317.44+440548.1,115.8227048,44.0966964,14.416,0.028,14.112,0.043,10.514,0.089,8.373,-9999.0,16.427,0.111,15.039,-9999.0,14.634,-9999.0,115.82305425718165,44.09613343194463,246333554314432,20.71021,19.378021,18.561993,18.201445,17.951086,0.058952767,0.015675027,0.007431767,0.015143268,0.008797419,7956417982308066196,115.82305343293987,44.096132440802286,0.8580782272004859,0.3558397744099897,2.4114175,-2.693355882148178,0.5070222831514861,2.1293793018546827,0.34911109882612185,0.660540112951782,19.266083,20.191847,18.10065,0.00333762004663,0.0193112614211,0.0622777122701,1.558759,11.788422119069327,2.091196,174.98034448208546,27.43153560725026,0.03715653
3,J144644.19+051238.0,221.6841405,5.2105647,10.901,0.023,10.282,0.02,9.515,0.035,8.595,-9999.0,13.637,0.026,12.287,0.026,11.349,0.023,221.6841377968271,5.210581015403941,65090229450433,17.912088,16.500734,15.665445,16.07263,15.152943,0.06136249,0.028187528,0.039625898,0.022848219,0.033359483,4760762202967821372,221.68413872692966,5.2105812941747285,-0.03513405844086236,0.08096880668538091,-0.43392092,-1.0913659597876877,0.10958344306640848,-0.3113547169290654,0.12449961280110379,0.22457880520063125,15.468903,16.715193,14.357213,0.0276966659936,0.079307330654,0.128351422992,1.4186791,1.288021417937279,2.3579798,359.49714181057817,54.87576419038759,0.03893067
4,J091421.04+524016.5,138.587672,52.6712747,13.667,0.029,13.258,0.031,11.969,-9999.0,9.034,-9999.0,16.329,0.127,15.887,0.183,15.611,0.208,138.58844063245562,52.671508487418876,304362857520326,20.28605,19.11361,18.1301,17.729486,17.231941,0.052936,0.05053642,0.00818884,0.013642838,0.015164158,7270428279692069717,138.5884402678993,52.67150752156582,0.653284246139131,0.6471201865407703,1.0095254,-8.791256256710914,0.720903283118543,-9.883131432860539,0.5423789812662767,0.8520323424166305,19.046997,20.126812,17.822477,0.00583555694693,0.022719916675,0.0920784896526,1.5871178,174.9624734903548,2.3043346,164.9568117052868,42.66650409575956,0.014722975
5,J171622.03+454721.3,259.0917972,45.7892688,13.862,0.028,13.494,0.032,11.077,0.099,8.464,0.231,16.621,0.175,15.804,0.174,15.968,-9999.0,259.09157070753633,45.789825864044815,283832913786065,19.800495,18.859756,18.12046,17.756601,17.264376,0.021200407,0.010923332,0.008251056,0.013357704,0.0021785086,8706302504637302922,259.09156829953645,45.78982795259749,0.37697029755881417,0.22414552902771043,1.6818105,-5.77640839825858,0.43737162475127744,11.206763086097723,0.5162908248058088,0.1803232127232736,18.872166,19.788582,17.755741,0.00341103593093,0.0366324988558,0.076044838623,1.506459,158.95843285139483,2.0328407,71.5514610013161,35.236943508769464,0.034951642
6,J042638.77+142516.0,66.66155,14.4211379,10.251,0.024,9.815,0.02,9.08,0.032,8.539,0.372,13.215,0.023,12.03,0.021,11.204,0.018,66.66153957148718,14.421122127072952,88905823058905,18.680098,16.409323,15.199205,15.007429,14.364925,0.10082764,0.10337792,0.0071428264,0.033258975,0.031746976,-6579530357169688637,66.66154048877053,14.421123112635685,-0.13572468025033213,0.10346117870158666,-1.3118416,0.3271623409897289,0.19044763262104053,-1.5281470050125852,0.1183830021512851,0.3175913277152422,16.798264,18.220673,15.464509,0.0204030230378,0.0560381717612,0.105793622686,1.6530112,2.4422684662908134,2.7561636,181.24473463216157,-23.296120851853704,0.57751113
7,J073848.99+470455.1,114.7041302,47.0819917,13.867,0.028,13.534,0.034,12.048,0.349,8.475,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,114.70526469152945,47.08225797040432,276797757363651,20.26385,18.945095,18.06788,17.66126,17.361958,0.018457003,0.015841763,0.0046788477,0.005483148,0.022057254,8100392432895548975,114.70526184867212,47.08225568212823,0.997962429946383,0.28192172710621455,3.5398564,-8.890410145121358,0.45258736377219877,-9.312965163289714,0.412582381647946,0.0,18.802551,19.845598,17.704,0.00497206552649,0.0153105642716,0.0906695067188,1.4523069,165.77071268112456,2.1415977,171.50898683188964,27.27990927790606,0.09713288
8,J113355.82+651816.4,173.4826217,65.3045576,13.221,0.024,12.521,0.023,9.569,0.036,7.382,0.102,15.571,0.066,14.969,0.093,14.376,0.077,173.48258089523276,65.30456891154225,327937932960194,20.29277,18.924236,17.883839,17.484701,16.981905,0.019394295,0.008888043,0.006494236,0.0036502236,0.00881531,6980737752098673400,173.482581189584,65.30457035919305,0.1556445674436417,0.22722200910940932,0.684989,-0.04467493221249922,0.3746286682124308,-0.27221953432439316,0.39421788710477595,0.8778454646263979,18.678946,19.908325,17.412678,0.00263388146513,0.0103049911043,0.0614196808851,1.6038004,0.07609932443598087,2.4956474,135.36238179407124,49.91156630696365,0.011016351
9,J161405.21+003257.7,243.521729,0.5493613,14.245,0.03,13.916,0.039,11.407,0.208,8.974,-9999.0,16.404,0.132,15.769,0.169,15.273,0.182,243.5217719447711,0.5489582192686343,68204080703224,20.683619,19.550169,18.814636,18.400183,17.98647,0.047255248,0.026320131,0.037113324,0.020644842,0.020358635,5588069936078656238,243.52178179892158,0.5489460955240294,-1.379156394747343,1.4660932037342087,-0.9407017,-15.350157103639756,2.9304870188859824,4.925838109723996,1.690745220599827,6.712771269195737,20.233435,20.079426,18.027603,0.0140695673158,0.020146521111,0.104353094042,4.093948,259.8912041896313,2.0518227,12.996497787449504,34.645493968387335,0.114844106
10,J094331.39-183428.4,145.8808037,-18.5745605,1.583,-9999.0,0.965,-9999.0,1.263,0.017,0.809,0.02,4.283,0.24,3.281,0.23,2.789,0.244,145.8807013842856,-18.574639086955514,456658102818810,13.307907,12.364003,7.8498163,7.489948,4.978992,0.0018998246,0.001,0.22199607,0.15959814,0.0019451206,2950385521509012545,145.88067471116267,-18.57461800481277,0.928914092439147,0.22372583163670692,4.15202,-14.433882483860868,0.3068244735140502,11.45553666248924,0.3014929343497386,0.5578538835746198,9.614708,13.685996,8.309101,0.0646749025018,0.149768546625,0.361638634665,1.4352072,339.5662837835407,5.376895,252.78045816234263,25.488587718617964,0.05038116
11,J140145.88+504920.5,210.441193,50.8223688,14.519,0.027,14.196,0.039,12.215,-9999.0,8.734,-9999.0,16.726,0.151,15.804,0.132,15.088,0.12,210.44085627550305,50.82244947834568,280946695748973,20.655005,19.1838,18.686934,18.526281,18.188019,0.055546105,0.020878993,0.027576713,0.01807651,0.040648412,6709096807386862801,210.44085464393788,50.82245104671967,-2.576809287164612,2.478713948425404,-1.0395751,1.4084550562299676,3.91057907730244,2.91473724636264,3.978097261316012,18.49792853734494,20.342417,20.045343,18.119467,0.0103432514527,0.0242600204964,0.094650380783,4.2645836,10.479438860753428,1.9258766,98.25502003660262,62.80317274024449,0.011450325
